Authors,Title,Source,Year,RI,New sp.,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,DOI
"Wallnöfer, B",A revision of neotropical Diospyros (Ebenaceae): part 10,Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie,2017,12,1,0,1,0,0,0,0,0,0,
Wurdack KJ,"A new disjunct Dendrothrix (Euphorbiaceae, tribe Hippomaneae): a Guiana Shield element in sub-Andean cordilleras of Ecuador and Peru",PhytoKeys,2017,,1,0,1,0,0,0,0,0,0,
,"Fieldiana Life and Earth Sciences, 10(1):1-25. 2017",,2017,26,1,0,1,0,0,0,0,0,0,
"Catenazzi, A, S Richards, J Glos","Herpetofauna. In:  pp. 109-126 of Larsen, T.H. (ed.). Core Standardized Methods for Rapid Biological Field Assessment",Conservation International Publication,2016,NA,0,0,0,0,1,1,0,0,0,
"Coelho de Souza, F., & 75 others",Evolutionary heritage influences Amazon tree ecology,Proceedings of the Royal Society B: Biological Sciences,2016,,0,0,1,0,0,0,0,0,0,
"Esquivel-Muelbert, A., & ~100 others",Seasonal drought limits tree species across the Neotropics,Ecography,2016,,0,0,1,0,0,0,0,0,0,
"Johnson, M. O., & ~100 others",Variation in stem mortality rates determines patterns of above-ground biomass in Amazonian forests: Implications for dynamic global vegetation models,Global Change Biology,2016,,0,0,1,0,0,0,0,0,0,
"Marinho, LC, P Fiaschi, F de Assis R dos Santos, AM Amorim",New species of Tovomita from Amazon River basin - first record of Tovomita papille,Plant Systematics and Evolution,2016,12,1,0,1,0,0,0,0,0,0,
"Ron, S. R., P. J. Venegas, H. M. Ortega-Andrade, L. A. G. Gagliardi-Urrutia, and P. E. Salerno
","Systematics of Ecnomiohyla tuberculosa with the description of a new species and comments on the taxonomy of Trachycephalus typhonius (Anura, Hylidae). ZooKeys 630: 115–154. 
",ZooKeys,2016,25,1,0,0,0,1,0,0,0,0,
"Taylor, CM",Rubiacearum americanarum magna hama pars XXXI: More new Neotropical species and morphological notes for Psychotria (Psychotrieae),Novon,2016,15,1,0,1,0,0,0,0,0,0,
"ter Steege, H., R. W. Vaessen, D. Cárdenas-López, D. Sabatier, A. Antonelli, S. Mota De Oliveira, N. C. A. Pitman, P. M. Jørgensen, & R. P. Salomão",The discovery of the Amazonian tree flora with an updated checklist of all known tree taxa,Scientific Reports,2016,,,,1,0,0,0,0,0,0,
,Arnaldoa 19(2): 142. 2013 [dt. 2012; publ. Apr 2013] /Phytotaxa 277: 293. 2016. (29 Sep 2016),,2016,24,1,0,1,0,0,0,0,0,0,
,"Taylor, C. M. 2016. Rubiacearum americanarum magna hama pars XXXI: More new Neotropical species and morphological notes for Psychotria (Psychotrieae). Novon 24(4): 413–434",,2016,15,1,0,1,0,0,0,0,0,0,
"Brienen, R., & 82 others",Long-term decline of the Amazon carbon sink,Nature,2015,,0,0,1,0,0,0,0,0,0,
"Catenazzi, A",Book review. Perú: Ere-Campuya-Algodón. Rapid Biological and Social Inventories Report 25,Copeia,2015,25,0,0,0,1,1,1,0,0,0,
"Catenazzi, A",Book review. Perú: Cordillera Escalera-Loreto. Rapid Biological and Social Inventories Report 26,Copeia,2015,26,0,0,0,1,1,1,0,0,0,
"Catenazzi, A",State of the world's amphibians,Annual Review of Environment and Resources,2015,,0,0,0,0,1,0,0,0,0,
"Fauset, S., & ~100 others",Hyperdominance in Amazonian forest carbon cycling,Nature Communications,2015,,0,0,1,0,0,0,0,0,0,
"Honorio Coronado, E. N., & ~50 others",Phylogenetic diversity of Amazonian tree communities,Diversity and Distributions,2015,,0,0,1,0,0,0,0,0,0,
"Jarvis, L, A Angulo, A Catenazzi, R von May, JL Brown, E Lehr, and J Lewis",A re-assessment of priority amphibian species of Peru,Tropical Conservation Science,2015,,0,0,0,0,1,0,0,0,0,
"Palacios, WA",A new species of Colubrina (Rhamnaceae) of the Amazon region of Ecuador,Phytotaxa,2015,"19, 20, 22",1,0,1,0,0,0,0,0,0,
"Slik, F., & ~100 others",How many tree species are there in the world's tropical forests?,Proceedings of the National Academy of Sciences,2015,,0,0,1,0,0,0,0,0,0,
"Taylor, CM",Rubiacearum americanarum magna hama pars XXX: More new species of Palicourea (Palicoureeae) from western South America,Novon,2015,26,1,0,1,0,0,0,0,0,0,
"ter Steege, H., N. C. A. Pitman, & ~150 others","Estimating the global conservation status of over 15,000 Amazonian tree species",Science Advances,2015,,0,0,1,0,0,0,0,0,0,
,Novon 24(1): 78. 2015 [11 Jun 2015],Novon,2015,17,1,0,1,0,0,0,0,0,0,
,J. Bot. Res. Inst. Texas 9(1): 96. 2015 [24 Jul 2015],,2015,26,1,0,1,0,0,0,0,0,0,
,Novon 24(1): 78. 2015 [11 Jun 2015],,2015,15,1,0,1,0,0,0,0,0,0,
"Baker, T.R., & >50 others",Fast demographic traits promote high diversification of Amazonian trees,Ecology Letters,2014,,0,0,1,0,0,0,0,0,0,
"Catenazzi, A, and R von May",Conservation status of amphibians in Peru,Herpetological Monographs,2014,,0,0,0,0,1,0,0,0,0,
"Doan, TM",Book review: Perú: Cerros de Kampakis. Rapid Biological and Social Inventories Report 24.,Copeia,2014,24,0,0,0,1,1,1,0,0,0,
"Pos, E.T., & 19 others",Are all species necessary to reveal ecologically important patterns?,Ecology and Evolution,2014,,0,0,1,0,0,0,0,0,0,
"Riina, R, MA Vigo, CE Cerón",Croton condorensis: an enigmatic new species of Euphorbiaceae from southern Ecuador,Phytotaxa,2014,26,1,0,1,0,0,0,0,0,0,
,J. Bot. Res. Inst. Texas 8(1): 37. 2014 [9 Jul 2014],,2014,3,1,0,1,0,0,0,0,0,0,
"Coloma, LA & JJ Mueses-Cisneros",Osornophryne cofanorum. En: Centro Jambatu. 2011–2012. Anfibios de Ecuador.,Fauna Web Ecuador,2013,21,0,0,0,0,1,0,0,0,0,
"Pitman, N., G. Gagliardi Urrutia, & C. Jenkins","La biodiversidad de Loreto, Perú: El conocimiento actual de la diversidad de plantas y vertebrados terrestre","Informe tecnico, Center for International Environmental Law",2013,,0,0,1,0,0,0,0,0,0,
"Taylor, CM, RE Gereau","The genus Carapichea (Rubiaceae, Psychotrieae)",Annals of the Missouri Botanical Garden,2013,12,1,0,1,0,0,0,0,0,0,
"ter Steege, H., N.C.A. Pitman, & 118 others",Hyperdominance in the Amazonian tree flora,Science,2013,,0,0,1,0,0,0,0,0,0,
"Castroviejo-Fisher, S, PE Pérez-Peña, JM Padial, JM Guayasamin",A Second Species of the Family Allophrynidae (Amphibia: Anura),American Museum Novitates,2012,,1,0,0,0,1,0,0,0,0,
"Doan, TM",Book review: Perú: Yaguas-Cotuhé. Rapid Biological and Social Inventories Report 23,Copeia,2012,23,0,0,0,1,1,1,0,0,0,
"Malhado, A.C.M., Y. Malhi, R.J. Whittaker, R.J. Ladle, H. ter Steege, O. Phillips, W.F. Laurance, L.E.O.C. Aragão, N.C.A. Pitman, & H. Ramírez A",Drip-tips are associated with intensity of precipitation in Amazonian rainforest,Biotropica,2012,,0,0,1,0,0,0,0,0,0,
"Motta, AP, S Castroviejo-Fisher, PJ Venegas, VGD Orrico, JM Padial",A new species of the Dendropsophus parviceps group from the western Amazon Basin (Amphibia: Anura: Hylidae),Zootaxa,2012,22,1,0,0,0,1,0,0,0,0,
"Neill, DA, M Asanza","Lozania nunkui (Lacistemataceae), a New Species from the Sandstone Plateaus of the Cordillera del Cóndor in Ecuador and Peru",Novon,2012,24,1,0,1,0,0,0,0,0,0,
"Palacios, W",Cuatro Especies Nuevas de Árboles del Ecuador / Four new tree species fromEcuador,Caldasia,2012,"24, 26",1,0,1,0,0,0,0,0,0,
"Palacios, W",Four new tree species from Ecuador,Caldasia,2012,20,1,0,1,0,0,0,0,0,0,
"Quesada, C. A., O.L. Phillips, M. Schwarz, C.I. Czimczik, T.R. Baker, S. Patiño, N.M. Fyllas, M.G. Hodnett, R. Herrera, S. Almeida, E. Alvarez Dávila, A. Arneth, L. Arroyo, K.J. Chao, N. Dezzeo, T. Erwin, A. di Fiore, N. Higuchi, E. Honorio Coronado, E.M. Jimenez, T. Killeen, A.T. Lezama, G. Lloyd, G. López-González, F.J. Luizão, Y. Malhi, A. Monteagudo, D.A. Neill, P. Núñez Vargas, R. Paiva, J. Peacock, M.C. Peñuela, A. Peña Cruz, N. Pitman, N. Priante Filho, A. Prieto, H. Ramírez, A. Rudas, R. Salomão, A.J.B. Santos, J. Schmerler, N. Silva, M. Silveira, R. Vásquez, I. Vieira, J. Terborgh & J. Lloyd",Basin-wide variations in Amazon forest structure and function are mediated by both soils and climate,Biogeosciences,2012,,0,0,1,0,0,0,0,0,0,
"Watsa, M, GA Erkenswick, JA Rehg, RL Pitman",Distribution and New Sightings of Goeldi’s monkey (Callimico goeldii) in Amazonian Peru,International Journal of Primatology,2012,,0,0,0,0,0,0,0,1,0,
"Yañez-Muñoz, MH, E Toral-Contreras, PA Meza-Ramos, JP Reyes-Puig, EP Bejarano-Muñoz, JJ Mueses-Cisneros & D Paucar","New Country records for five species of  Pristimantis Jiménez de la Espada, 1870 from Ecuador",Check List,2012,21,0,0,0,0,1,0,0,0,0,
,Anales Jard. Bot. Madrid 69(2): 264. 2012 [Jul-Dec 2012],,2012,21,1,0,1,0,0,0,0,0,0,
"Hagberg, M, R Eriksson",Phytotaxa 20: 22 (-23; fig. 4D). 2011 [1 Mar 2011],Phytotaxa,2011,17,1,0,1,0,0,0,0,0,0,
"Henderson, A",A revision of Geonoma (Arecaceae),Phytotaxa,2011,3,1,0,1,0,0,0,0,0,0,
"Riina, R, PE Berry","Blumea 56(2): 146 (-148; figs. 1a, 2a-b). 2011 [15 Jul 2011] Preprint distributed 15 Jul 2011",Blumea,2011,11,1,0,1,0,0,0,0,0,0,
"Taylor, CM, DA Neill, RE Gereau",Rubiacearum Americanarum Magna Hama Pars XXIX: Overview of the Neotropical Genus Schizocalyx (Condamineeae) and Description of Two New Species,Novon,2011,24,1,0,1,0,0,0,0,0,0,
"Taylor, CM, RE Gereau",Rubiacearum americanarum magna hama pars XXVI: New species of Hoffmannia (Hamelieae) and more comments on the genus,Novon,2011,15,1,0,1,0,0,0,0,0,0,
,Syst. Bot. 36(4): 944. 2011 [14 Nov 2011],,2011,16,1,0,1,0,0,0,0,0,0,
,Brittonia 59(1): 21 (-24; fig. 5). 2007 [30 Mar 2007]; this det. is not mentioned in the original description but in Appendix 1 of Daly & Fine (2011),Brittonia,2011,16,1,0,1,0,0,0,0,0,0,
,Phytotaxa 20: 21 (fig. 5A). 2011 [1 Mar 2011],Phytotaxa,2011,12,1,0,1,0,0,0,0,0,0,
"Anderson, EP, and JA Maldonado-Ocampo",A Regional Perspective on the Diversity and Conservation of Tropical Andean Fishes,Conservation Biology,2010,,0,0,0,1,0,0,0,0,0,
