Authors,Title,Source,Year,RI,New sp.,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,DOI
"ter Steege, H., N.C.A. Pitman, O.L. Phillips, J. Chave, D. Sabatier, A. Duque, J.-F. Molino, M.-F. Prévost, R. Spichiger, H. Castellanos, P. von Hildebrand & R. Vásquez",Continental-scale patterns of canopy tree composition and function across Amazonia,Nature,2006,,0,0,1,0,0,0,0,0,0,
,Novon 16(1): 146 (-147; fig. 2A-C). 2006 [25 May 2006],Novon,2006,3,1,0,1,0,0,0,0,0,0,
,"Fl. Ecuador 79: 102 (-104, 101; fig. 11M-Y). 2006 [28 Dec 2006]",,2006,3,1,0,1,0,0,0,0,0,0,
,Brittonia 58(4): 341 (-345; fig. 9). 2006 [28 Dec 2006],Brittonia,2006,11,1,0,1,0,0,0,0,0,0,
"Croat, TB, A Swart, and ED Yates","New species of Araceae from the Río Cenepa region, Amazonas Department, Perú",Rodriguésia,2005,11,1,0,1,0,0,0,0,0,0,
"Langstroth, RP",Adiciones probables y confirmadas para la saurofauna boliviana,Kempffiana,2005,"1, 6",0,0,0,0,0,1,0,0,0,
"Phillips, O. L., & 32 others",Late twentieth-century patterns and trends in Amazon tree turnover,Book Chapter,2005,,0,0,1,0,0,0,0,0,0,
"Pirie, MD","New Species of Cremastosperma (Annonaceae) from Colombia, Ecuador, and Panama",Blumea,2005,3,1,0,1,0,0,0,0,0,0,
"Townsend, WR, RA Borman, E Yiyoguaje, L Mendua",Cofa´ n Indians’ monitoring of freshwater turtles,Biodiversity and Conservation,2005,,0,1,0,0,0,1,0,0,0,
,"Jewels of the Jungle: Bromeliac. Ecuador II, Pitcairnioid. 444 (369, 445; fig. 27, photo). 2005 [6 Jan 2005]",,2005,3,1,0,1,0,0,0,0,0,0,
,Sida 21(3): 1271 (-1272; fig. 1). 2005 [5 Aug 2005],,2005,3,1,0,1,0,0,0,0,0,0,
,"Sida 21(4): 1957–1959, f. 2. 2005. (21 Dec 2005)",,2005,3,1,0,1,0,0,0,0,0,0,
,Syst. & Geogr. Pl. 75(2): 173 (-175; fig. 1). 2005 [23 Dec 2005],,2005,12,1,0,1,0,0,0,0,0,0,
"Baker, T.R., O.L. Phillips, Y. Malhi, S. Almeida, L. Arroyo, A. Di Fiore, T. Erwin, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, A. Monteagudo, D.A. Neill, P. Núñez V., N.C.A. Pitman, J. Natalino M. Silva & R. Vásquez M.",Increasing biomass in Amazonian forest plots,"Philosophical Transactions of the Royal Society of London, Series B",2004,,0,0,1,0,0,0,0,0,0,
"Baker, T.R., O.L. Phillips, Y. Malhi, S. Almeida, L. Arroyo, A. Di Fiore, T. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, J. Lloyd, A. Monteagudo, D.A. Neill, S. Patiño, N.C.A. Pitman, N. Silva & R. Vásquez Martínez",Variation in wood density determines spatial patterns in Amazonian forest biomass,Global Change Biology,2004,,0,0,1,0,0,0,0,0,0,
"Croat, TB, and CC Finch",New Species of Philodendron (Araceae) from South America,Aroideana,2004,11,1,0,1,0,0,0,0,0,0,
"Malhi, Y., T.R. Baker, O.L. Phillips, J. Lloyd, S. Almeida, L. Arroyo, J. Chave, C.I. Czimczik, A. Di Fiore, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, L.M. Mercado, A. Monteagudo, D.A. Neill, S. Patiño, N.C.A. Pitman, C.A. Quesada, N. Silva, R. Vásquez Martínez & B. Vinceti",The above-ground coarse wood productivity of 104 lowland Neotropical forest plots,Global Change Biology,2004,,0,0,1,0,0,0,0,0,0,
"Phillips, O., T. Baker, L. Arroyo, N. Higuchi, T. Killeen, W.F. Laurance, S.L. Lewis, J. Lloyd, Y. Malhi, A. Monteagudo, D. Neill, P. Núñez Vargas, N. Silva, J. Terborgh, R. Vásquez Martínez, M. Alexiades, S. Almeida, S. Brown, J. Chave, J.A. Comiskey, C.I. Czimczik, A. Di Fiore, T. Erwin, C. Kuebler, S.G. Laurance, H.E.M. Nascimento, J. Olivier, W. Palacios, S. Patiño, N. Pitman, C.A. Quesada, M. Saldias, A. Torres Lezama & B. Vinceti","Pattern and process in Amazon tree turnover, 1976-2001","Philosophical Transactions of the Royal Society, Series B",2004,,0,0,1,0,0,0,0,0,0,
,Syst. Bot. 29(2): 321 (-323; fig. 6). 2004 [21 May 2004],,2004,11,1,0,1,0,0,0,0,0,0,
,Harvard Pap. Bot. 9(1): 35 (-36; fig. 10H-J). 2004 [Sep 2004],Harvard Papers in Botany,2004,15,1,0,1,0,0,0,0,0,0,
"Persson, C","Agouticarpa, a New Neotropical Genus of Tribe Gardenieae (Rubiaceae)",Brittonia,2003,3,1,0,1,0,0,0,0,0,0,
"ter Steege, H., N. Pitman, D. Sabatier, H. Castellanos, P. van der Hout, D.C. Daly, M. Silveira, O. Phillips, R. Vásquez, T. van Andel, J. Duivenvoorden, A.A. de Oliveira, R. Ek, R. Lilwah, R. Thomas, J. van Essen, C. Baider, P. Maas, S. Mori, J. Terborgh, P. Núñez Vargas, H. Mogollón & P.J. Horchler",A spatial model of tree alpha-diversity and density for the Amazon region,Biodiversity and Conservation,2003,,0,0,1,0,0,0,0,0,0,
"Taylor, CM",Rubiacearum americanarum magna hama pars VII. New species of Palicourea (Psychotrieae) from Central America and western South America,Novon,2002,3,1,0,1,0,0,0,0,0,0,
"Pequeño, T",Working toward an integral monitoring for Cordillera Azul National Park and its buffer zone,CIMA,,2,0,0,1,1,1,1,1,1,0,
