ID,Title,Authors,Source,Type,Year,RI,Describe new sp.?,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,cumulative,doi
,The discovery of the Amazonian tree flora with an updated checklist of all known tree taxa,"ter Steege, H., R. W. Vaessen, D. Cárdenas-López, D. Sabatier, A. Antonelli, S. Mota De Oliveira, N. C. A. Pitman, P. M. Jørgensen, & R. P. Salomão",Scientific Reports,Journal Article,2016,,,,1,0,0,0,0,0,0,113,
,Variation in stem mortality rates determines patterns of above-ground biomass in Amazonian forests: Implications for dynamic global vegetation models,"Johnson, M. O., & ~100 others",Global Change Biology,Journal Article,2016,,0,0,1,0,0,0,0,0,0,113,
,A new species of Colubrina (Rhamnaceae) of the Amazon region of Ecuador,"Palacios, WA",Phytotaxa,Journal Article,2015,"19, 20, 22",1,0,1,0,0,0,0,0,0,105,
,A re-assessment of priority amphibian species of Peru,"Jarvis, L, A Angulo, A Catenazzi, R von May, JL Brown, E Lehr, and J Lewis",Tropical Conservation Science,Journal Article,2015,,0,0,0,0,1,0,0,0,0,105,
,Book review. Perú: Cordillera Escalera-Loreto. Rapid Biological and Social Inventories Report 26,"Catenazzi, A",Copeia,Book Review,2015,26,0,0,0,1,1,1,0,0,0,105,
,Book review. Perú: Ere-Campuya-Algodón. Rapid Biological and Social Inventories Report 25,"Catenazzi, A",Copeia,Book Review,2015,25,0,0,0,1,1,1,0,0,0,105,
,"Estimating the global conservation status of over 15,000 Amazonian tree species","ter Steege, H., N. C. A. Pitman, & ~150 others",Science Advances,Journal Article,2015,,0,0,1,0,0,0,0,0,0,105,
,How many tree species are there in the world's tropical forests?,"Slik, F., & ~100 others",Proceedings of the National Academy of Sciences,Journal Article,2015,,0,0,1,0,0,0,0,0,0,105,
,Hyperdominance in Amazonian forest carbon cycling,"Fauset, S., & ~100 others",Nature Communications,Journal Article,2015,,0,0,1,0,0,0,0,0,0,105,
,J. Bot. Res. Inst. Texas 9(1): 96. 2015 [24 Jul 2015],,Journal of the Botanical Research Institute of Texas,Journal Article,2015,26,1,0,1,0,0,0,0,0,0,105,
,Long-term decline of the Amazon carbon sink,"Brienen, R., & 82 others",Nature,Journal Article,2015,,0,0,1,0,0,0,0,0,0,105,
,Novon 24(1): 78. 2015 [11 Jun 2015],,Novon,Journal Article,2015,17,1,0,1,0,0,0,0,0,0,105,
,Novon 24(1): 78. 2015 [11 Jun 2015],,Novon,Journal Article,2015,15,1,0,1,0,0,0,0,0,0,105,
,Phylogenetic diversity of Amazonian tree communities,"Honorio Coronado, E. N., & ~50 others",Diversity and Distributions,Journal Article,2015,,0,0,1,0,0,0,0,0,0,105,
,Rubiacearum americanarum magna hama pars XXX: More new species of Palicourea (Palicoureeae) from western South America,"Taylor, CM",Novon,Journal Article,2015,26,1,0,1,0,0,0,0,0,0,105,
,State of the world's amphibians,"Catenazzi, A",Annual Review of Environment and Resources,Journal Article,2015,,0,0,0,0,1,0,0,0,0,105,
,Are all species necessary to reveal ecologically important patterns?,"Pos, E.T., & 19 others",Ecology and Evolution,Journal Article,2014,,0,0,1,0,0,0,0,0,0,91,
,Book review: Perú: Cerros de Kampakis. Rapid Biological and Social Inventories Report 24.,"Doan, TM",Copeia,Book Review,2014,24,0,0,0,1,1,1,0,0,0,91,
,Conservation status of amphibians in Peru,"Catenazzi, A, and R von May",Herpetological Monographs,Journal Article,2014,,0,0,0,0,1,0,0,0,0,91,
,Croton condorensis: an enigmatic new species of Euphorbiaceae from southern Ecuador,"Riina, R, MA Vigo, CE Cerón",Phytotaxa,Journal Article,2014,26,1,0,1,0,0,0,0,0,0,91,
,Fast demographic traits promote high diversification of Amazonian trees,"Baker, T.R., & >50 others",Ecology Letters,Journal Article,2014,,0,0,1,0,0,0,0,0,0,91,
,J. Bot. Res. Inst. Texas 8(1): 37. 2014 [9 Jul 2014],,Journal of the Botanical Research Institute of Texas,Journal Article,2014,3,1,0,1,0,0,0,0,0,0,91,
,Markedly divergent estimates of Amazon forest carbon density from ground plots and satellites,"Mitchard, E.T.A., & 78 others",Global Ecology and Biogeography,Journal Article,2014,,0,0,1,0,0,0,0,0,0,91,
,Methods to estimate aboveground wood productivity from long-term forest inventory plots,"Talbot, J., & 23 others",Forest Ecology and Management,Journal Article,2014,,0,0,1,0,0,0,0,0,0,91,
,Tropical forest wood production: A cross-continental comparison,"Banin, L., S.L. Lewis, G. Lopez-Gonzalez, T.R. Baker, C.A. Quesada, K.-J. Chao, D.F.R.P. Burslem, R. Nilus, K. Abu Salim, H.C. Keeling, S. Tan, S. Davies, A. Monteagudo, R. Vásquez, J. Lloyd, D. Neill, N. Pitman, & O.L. Phillips",Journal of Ecology,Journal Article,2014,,0,0,1,0,0,0,0,0,0,91,
,Hyperdominance in the Amazonian tree flora,"ter Steege, H., N.C.A. Pitman, & 118 others",Science,Journal Article,2013,,0,0,1,0,0,0,0,0,0,82,
,"La biodiversidad de Loreto, Perú: El conocimiento actual de la diversidad de plantas y vertebrados terrestre","Pitman, N., G. Gagliardi Urrutia, & C. Jenkins","Informe tecnico, Center for International Environmental Law",Journal Article,2013,,0,0,1,0,0,0,0,0,0,82,
,Osornophryne cofanorum. En: Centro Jambatu. 2011–2012. Anfibios de Ecuador.,"Coloma, LA & JJ Mueses-Cisneros",BIOWEB Ecuador,Guide [Web],2013,21,0,0,0,0,1,0,0,0,0,82,
,"The genus Carapichea (Rubiaceae, Psychotrieae)","Taylor, CM, RE Gereau",Annals of the Missouri Botanical Garden,Journal Article,2013,12,1,0,1,0,0,0,0,0,0,82,
,A new species of the Dendropsophus parviceps group from the western Amazon Basin (Amphibia: Anura: Hylidae),"Motta, AP, S Castroviejo-Fisher, PJ Venegas, VGD Orrico, JM Padial",Zootaxa,Journal Article,2012,22,1,0,0,0,1,0,0,0,0,78,
,A Second Species of the Family Allophrynidae (Amphibia: Anura),"Castroviejo-Fisher, S, PE Pérez-Peña, JM Padial, JM Guayasamin",American Museum Novitates,Journal Article,2012,,1,0,0,0,1,0,0,0,0,78,
,Anales Jard. Bot. Madrid 69(2): 264. 2012 [Jul-Dec 2012],,Anales del Jardín Botánico de Madrid,Journal Article,2012,21,1,0,1,0,0,0,0,0,0,78,
,Basin-wide variations in Amazon forest structure and function are mediated by both soils and climate,"Quesada, C. A., O.L. Phillips, M. Schwarz, C.I. Czimczik, T.R. Baker, S. Patiño, N.M. Fyllas, M.G. Hodnett, R. Herrera, S. Almeida, E. Alvarez Dávila, A. Arneth, L. Arroyo, K.J. Chao, N. Dezzeo, T. Erwin, A. di Fiore, N. Higuchi, E. Honorio Coronado, E.M. Jimenez, T. Killeen, A.T. Lezama, G. Lloyd, G. López-González, F.J. Luizão, Y. Malhi, A. Monteagudo, D.A. Neill, P. Núñez Vargas, R. Paiva, J. Peacock, M.C. Peñuela, A. Peña Cruz, N. Pitman, N. Priante Filho, A. Prieto, H. Ramírez, A. Rudas, R. Salomão, A.J.B. Santos, J. Schmerler, N. Silva, M. Silveira, R. Vásquez, I. Vieira, J. Terborgh & J. Lloyd",Biogeosciences,Journal Article,2012,,0,0,1,0,0,0,0,0,0,78,
,Book review: Perú: Yaguas-Cotuhé. Rapid Biological and Social Inventories Report 23,"Doan, TM",Copeia,Book Review,2012,23,0,0,0,1,1,1,0,0,0,78,
,Cuatro Especies Nuevas de Árboles del Ecuador / Four new tree species fromEcuador,"Palacios, W",Caldasia,Journal Article,2012,"24, 26",1,0,1,0,0,0,0,0,0,78,
,Distribution and New Sightings of Goeldi’s monkey (Callimico goeldii) in Amazonian Peru ,"Watsa, M, GA Erkenswick, JA Rehg, RL Pitman",International Journal of Primatology,Journal Article,2012,,0,0,0,0,0,0,0,1,0,78,
,Drip-tips are associated with intensity of precipitation in Amazonian rainforest,"Malhado, A.C.M., Y. Malhi, R.J. Whittaker, R.J. Ladle, H. ter Steege, O. Phillips, W.F. Laurance, L.E.O.C. Aragão, N.C.A. Pitman, & H. Ramírez A",Biotropica,Journal Article,2012,,0,0,1,0,0,0,0,0,0,78,
,Four new tree species from Ecuador,"Palacios, W",Caldasia,Journal Article,2012,20,1,0,1,0,0,0,0,0,0,78,
,"Lozania nunkui (Lacistemataceae), a New Species from the Sandstone Plateaus of the Cordillera del Cóndor in Ecuador and Peru","Neill, DA, M Asanza",Novon,Journal Article,2012,24,1,0,1,0,0,0,0,0,0,78,
,"New Country records for five species of  Pristimantis Jiménez de la Espada, 1870 from Ecuador","Yañez-Muñoz, MH, E Toral-Contreras, PA Meza-Ramos, JP Reyes-Puig, EP Bejarano-Muñoz, JJ Mueses-Cisneros & D Paucar",Check List,Journal Article,2012,21,0,0,0,0,1,0,0,0,0,78,
,A revision of Geonoma (Arecaceae),"Henderson, A",Phytotaxa,Journal Article,2011,3,1,0,1,0,0,0,0,0,0,67,
,"Blumea 56(2): 146 (-148; figs. 1a, 2a-b). 2011 [15 Jul 2011] Preprint distributed 15 Jul 2011","Riina, R, PE Berry",Blumea,Journal Article,2011,11,1,0,1,0,0,0,0,0,0,67,
,Brittonia 59(1): 21 (-24; fig. 5). 2007 [30 Mar 2007]; this det. is not mentioned in the original description but in Appendix 1 of Daly & Fine (2011),,Brittonia,Journal Article,2011,16,1,0,1,0,0,0,0,0,0,67,
,Phytotaxa 20: 21 (fig. 5A). 2011 [1 Mar 2011],,Phytotaxa,Journal Article,2011,12,1,0,1,0,0,0,0,0,0,67,
,Phytotaxa 20: 22 (-23; fig. 4D). 2011 [1 Mar 2011],"Hagberg, M, R Eriksson",Phytotaxa,Journal Article,2011,17,1,0,1,0,0,0,0,0,0,67,
,Rubiacearum Americanarum Magna Hama Pars XXIX: Overview of the Neotropical Genus Schizocalyx (Condamineeae) and Description of Two New Species,"Taylor, CM, DA Neill, RE Gereau",Novon,Journal Article,2011,24,1,0,1,0,0,0,0,0,0,67,
,Rubiacearum americanarum magna hama pars XXVI: New species of Hoffmannia (Hamelieae) and more comments on the genus,"Taylor, CM, RE Gereau",Novon,Journal Article,2011,15,1,0,1,0,0,0,0,0,0,67,
,Syst. Bot. 36(4): 944. 2011 [14 Nov 2011],,Systematic Botany,Journal Article,2011,16,1,0,1,0,0,0,0,0,0,67,
,A floristic study of the white-sand forests of Peru. Annals of the Missouri Botanical Garden,"Fine, P., R. García, N. Pitman, I. Mesones & S. Kembel",Annals of the Missouri Botanical Garden,Journal Article,2010,,0,0,1,0,0,0,0,0,0,59,
,A Regional Perspective on the Diversity and Conservation of Tropical Andean Fishes,"Anderson, EP, and JA Maldonado-Ocampo",Conservation Biology,Journal Article,2010,,0,0,0,1,0,0,0,0,0,59,
,Are compound leaves an adaptation to seasonal drought or to rapid vertical growth? Evidence from the Amazon rainforest,"Malhado, A.C.M., R.J. Whittaker, Y. Malhi, R.J. Ladle, H. ter Steege, O. Phillips, L.E.O.C. Aragão, T.R. Baker, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, N.C.A. Pitman, A. Prieto, R.P. Salomão, R. Vásquez-Martínez, W.F. Laurance & H. Ramírez-Angulo",Global Ecology and Biogeography,Journal Article,2010,,0,0,1,0,0,0,0,0,0,59,
,"Nuevos datos de distribución de ranas de cristal (Amphibia: Centrolenidae) en el oriente de Ecuador, con comentarios sobre la diversidad en la región.","Yánez-Muñoz, MH, P Meza-Ramos, HM Ortega-Andrade, JJ Mueses-Cisneros, M Reyes P, JP Reyes P & JC Durán L",Avances en Ciencias e Ingeniería,Journal Article,2010,20,0,0,0,0,1,0,0,0,0,59,
,Two new species of Ranitomeya (Anura: Dendrobatidae) from eastern Amazonian Peru,"Perez-Peña, PE, G Chavez, E Twomey, JL Brown",Zootaxa,Journal Article,2010,,1,0,0,0,1,0,0,0,0,59,
,Una nueva especie de sapo del género Osornophryne (Anura: Bufonidae) de las estribaciones amazónicas de los Andes de Ecuador,"Mueses-Cisneros, JJ, MH Yánez-Muñoz & JM Guayasamin",Papéis Avulsos de Zoologia,Journal Article,2010,21,1,0,0,0,1,0,0,0,0,59,
,A new species of Pristimantis (Anura: Strabomantidae) from the Amazonian lowlands of northern Peru,"Lehr, E, A Catenazzi, and D Rodriguez",Zootaxa,Journal Article,2009,18,1,0,0,0,1,0,0,0,0,53,
,Ann. Missouri Bot. Gard. 96(2): 278 (-281; fig. 2A-F). 2009 [Nov 2009],,Annals of the Missouri Botanical Garden,Journal Article,2009,19,1,0,1,0,0,0,0,0,0,53,
,Branch xylem density variations across the Amazon basin,"Patiño, S. & 62 others",Biogeosciences,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Do species traits determine patterns of wood production in Amazonian forests?,"Baker, T.R., O.L. Phillips, W.F. Laurance, N.C.A. Pitman, S. Almeida, L. Arroyo, A. DiFiore, T. Erwin, N. Higuchi, T.J. Killeen, S.G. Laurance, H. Nascimento, A. Monteagudo, D.A. Neill, J.N.M. Silva, Y. Malhi, G. López Gonzalez, J. Peacock, C.A. Quesada, S.L. Lewis & J. Lloyd",Biogeosciences,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Does the disturbance hypothesis explain the biomass increase in basin-wide Amazon forest plot data?,"Gloor, M. & 53 others",Global Change Biology,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Drought sensitivity of the Amazon rainforest,"Phillips, O.L. & 64 others",Science,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Fl. Ecuador 85: 93 (-94; fig. 16). 2009 [27.Moraceae (Ficus)],,,Journal Article,2009,3,1,0,1,0,0,0,0,0,0,53,
,J. Bot. Res. Inst. Texas 3(2): 595¬†(-597; fig. 1). 2009 [25 Nov 2009],,Journal of the Botanical Research Institute of Texas,Journal Article,2009,11,1,0,1,0,0,0,0,0,0,53,
,Journal of the Botanical Research Institute of Texas 3(2): 599. 2009.,,Journal of the Botanical Research Institute of Texas,Journal Article,2009,12,1,0,1,0,0,0,0,0,0,53,
,"Mapping landscape scale variations of forest structure, biomass, and productivity in Amazonia","Saatchi, S. & 23 others",Biogeosciences Discussions,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Multi-scale comparisons of tree composition in Amazonian terra firme forests,"Honorio Coronado, E.N., T.R. Baker, O.L. Phillips, N.C.A. Pitman, R.T. Pennington, R. Vásquez Martínez, A. Monteagudo, H. Mogollón, N. Dávila Cardozo, M. Ríos, R. García-Villacorta, E. Valderrama, M. Ahuite, I. Huamantupa, D.A. Neill, W.F. Laurance, H.E.M. Nascimento, S. Soares de Almeida, T.J. Killeen, L. Arroyo, P. Núñez & L. Freitas Alvarado",Biogeosciences,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,"New country records of Hyalinobatrachium iaspidiense (Amphibia, Anura, Centrolenidae) from the Amazonian lowlands of Ecuador and Peru","Yánez-Muñoz MH, P Pérez-Peña, and D. Cisneros-Heredia",Herpetology Notes,Journal Article,2009,19,0,0,0,0,1,0,0,0,0,53,
,New Species of Calyptranthes (Myrtaceae) from Ecuador and Peru,"Kawasaki, ML, BK Holst",Harvard Papers in Botany,Journal Article,2009,18,1,0,1,0,0,0,0,0,0,53,
,"Parkia nana (Leguminosae, Mimosoideae), a New Species from the Sub-Andean Sandstone Cordilleras of Peru","Neill, D",Novon,Journal Article,2009,17,1,0,1,0,0,0,0,0,0,53,
,Spatial distribution and functional significance of leaf lamina shape in Amazonian forest trees,"Malhado, A.C.M., R.J. Whittaker, Y. Malhi, R.J. Ladle, H. ter Steege, L.E.O.C. Aragão, C.A. Quesada, A.M. Araujo, O.L. Phillips, J. Peacock, G. López-González, T.R. Baker, N. Butt, L.O. Anderson, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, D.A. Neill, N.C.A. Pitman, A. Prieto, R.P. Salomão, N. Silva, R. Vásquez-M., W.F. Laurance, M.N. Alexiades & H. Ramírez A",Biogeosciences,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Spatial trends in leaf size of Amazonian rainforest trees,"Malhado, A.C.M., Y. Malhi, R.J. Whittaker, R.J. Ladle, H. ter Steege, L.E.O.C. Aragão, C.A. Quesada, A. Araujo-Murakami, O.L. Phillips, J. Peacock, G. Lopez-Gonzalez, T.R. Baker, N. Butt, L.O. Anderson, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, D. Neill, N. Pitman, A. Prieto, R.P. Salomão, N. Silva, R. Vásquez-Martínez & W.F. Laurance",Biogeosciences,Journal Article,2009,,0,0,1,0,0,0,0,0,0,53,
,Ann. Missouri Bot. Gard. 95(4): 645 (fig. 11). 2008 [30 Dec 2008],,Annals of the Missouri Botanical Garden,Journal Article,2008,3,1,0,1,0,0,0,0,0,0,37,
,Current state of conservation knowledge on threatened amphibian species in Peru,"von May, R., A. Catenazzi et al. ",Tropical Conservation Science,Journal Article,2008,,0,0,0,0,1,0,0,0,0,37,
,Increasing diversity in the species-rich genus Guatteria (Annonaceae),"Erkens, RHJ, LYTHWestra, PJM Maas",Blumea,Journal Article,2008,12,1,0,1,0,0,0,0,0,0,37,
,Rubiacearum Americanarum Magna Hama Pars XX. New species of Faramea (Coussareae) from Central and South America,"Taylor, CM",Novon,Journal Article,2008,11,1,0,1,0,0,0,0,0,0,37,
,Tree community change across 700 km of lowland Amazonian forest from the Andean foothills to Brazil,"Pitman, N.C.A., H. Mogollón, N. Dávila, M. Ríos, R. García-Villacorta, J. Guevara, M. Ahuite, M. Aulestia, D. Cardenas, C.E. Cerón, P.-A. Loizeau, D.A. Neill, P. Núñez V., W.A. Palacios, O.L. Phillips, R. Spichiger, E. Valderrama & R. Vásquez-Martínez",Biotropica ,Journal Article,2008,,0,0,1,0,0,0,0,0,0,37,
,"A new species of Hemibrycon (Teleostei: Characiformes: Characidae) from the río Ucayali drainage, Sierra del Divisor, Peru","Bertaco VA, LR Malabarba, M Hidalgo, H Ortega",Neotropical Ichthyology,Journal Article,2007,,1,0,0,1,0,0,0,0,0,32,
,A New Subsection of Anthurium Section Calomystrium (Araceae) and Five New Species from Colombia and Ecuador,"Croat, TB, J Whitehill, and ED Yates",Aroideana,Journal Article,2007,3,1,0,1,0,0,0,0,0,0,32,
,"Distribution, ecology and conservation status of the Blue-headed Macaw Primolius couloni","Tobias, JA, and DJ Brightsmith",Biological Conservation,Journal Article,2007,,0,0,0,0,0,0,1,0,0,32,
,Ground Force,"Hayden, T",Nature,Journal Article,2007,,0,0,0,0,0,0,0,0,1,32,
,Relationships among key dimensions of plant trait variation in seven Neotropical forests,"Wright, I.J., D.D. Ackerly, F. Bongers, K.E. Harms, G. Ibarra-Manriquez, M. Martínez-Ramos, S.J. Mazer, H.C. Muller-Landau, H. Paz, N.C.A. Pitman, L. Poorter, M.R. Silman, C.F. Vriesendorp, C.O. Webb, M. Westoby & S.J. Wright",Annals of Botany,Journal Article,2007,,0,0,1,0,0,0,0,0,0,32,
,The odd man out? Might climate explain the lower tree alpha-diversity of African rain forests relative to Amazonian rain forests?,"Parmentier, I., Y. Malhi, B. Senterre, R.J. Whittaker, A.T.D.N., A. Alonso, M.P.B. Balinga, A. Bakayoko, F. Bongers, C. Chatelain, J.A. Comiskey, R. Cortay, M.-N. Djuikouo Kamdem, J.-L. Doucet, L. Gautier, W.D. Hawthorne, Y.A. Issembre, F.N. Kouamé, L.A. Kouka, M.E. Leal, J. Lejoly, S.L. Lewis, L. Nusbaumer, M.P.E. Parren, K.S.-H. Peh, O.L. Phillips, D. Sheil, B. Sonké, M.S.M. Sosef, T.C.H. Sunderland, J. Stropp, H. ter Steege, M.D. Swaine, M.G.P. Tchouto, B.S. van Gemerden, J.L.C.H. van Valkenburg & H. Wöll",Journal of Ecology,Journal Article,2007,,0,0,1,0,0,0,0,0,0,32,
,Brittonia 58(4): 341 (-345; fig. 9). 2006 [28 Dec 2006],,Brittonia,Journal Article,2006,11,1,0,1,0,0,0,0,0,0,26,
,Continental-scale patterns of canopy tree composition and function across Amazonia,"ter Steege, H., N.C.A. Pitman, O.L. Phillips, J. Chave, D. Sabatier, A. Duque, J.-F. Molino, M.-F. Prévost, R. Spichiger, H. Castellanos, P. von Hildebrand & R. Vásquez",Nature,Journal Article,2006,,0,0,1,0,0,0,0,0,0,26,
,"Fl. Ecuador 79: 102 (-104, 101; fig. 11M-Y). 2006 [28 Dec 2006]",,,Journal Article,2006,3,1,0,1,0,0,0,0,0,0,26,
