ID,Title,Authors,Source,Type,Year,RI,Describe new sp.?,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,cumulative,doi
,Mancomunidad Amazónica Unión Amazónica Filadelfia-Bolpebra:  Plan Municipal de Ordenamiento Territorial Mancomunidad Filadelfia,"Chávez de los Ríos, E, R Calderon, R Peralta, S Suarez, et al.",Mancomunidad Unión Amazónica Filadelfi,Technical Report,2006,NA,0,0,0,0,0,0,0,0,1,26,
,Novon 16(1): 146 (-147; fig. 2A-C). 2006 [25 May 2006],,Novon,Journal Article,2006,3,1,0,1,0,0,0,0,0,0,26,
,The regional variation of aboveground live biomass in old-growth Amazonian forests,"Malhi, Y., D. Wood, T.R. Baker, J. Wright, O.L. Phillips, T. Cochrane, P. Meir, J. Chave, S. Almeida, L. Arroyo, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, A. Monteagudo, D.A. Neill, P. Núñez Vargas, N.C.A. Pitman, C.A. Quesada, R. Salomão, J.N.M. Silva, A. Torres Lezama, J. Terborgh, R. Vásquez Martínez & B. Vinceti",Global Change Biology,Journal Article,2006,,0,0,1,0,0,0,0,0,0,26,
,Two new species of myrmecophytic Tococa (Melastomataceae) with unusually large floral bracts,"Micheangeli, FA",Brittonia,Journal Article,2006,17,1,0,1,0,0,0,0,0,0,26,
,Adiciones probables y confirmadas para la saurofauna boliviana,"Langstroth, RP",Kempffiana,Journal Article,2005,"1, 6",0,0,0,0,0,1,0,0,0,19,
,Cofa´ n Indians’ monitoring of freshwater turtles,"Townsend, WR, RA Borman, E Yiyoguaje, L Mendua",Biodiversity and Conservation,Journal Article,2005,,0,1,0,0,0,1,0,0,0,19,
,"Jewels of the Jungle: Bromeliac. Ecuador II, Pitcairnioid. 444 (369, 445; fig. 27, photo). 2005 [6 Jan 2005]",,,,2005,3,1,0,1,0,0,0,0,0,0,19,
,Late twentieth-century patterns and trends in Amazon tree turnover,"Phillips, O. L., & 32 others",Book Chapter,Book,2005,,0,0,1,0,0,0,0,0,0,19,
,"New species of Araceae from the Río Cenepa region, Amazonas Department, Perú","Croat, TB, A Swart, and ED Yates",Rodriguésia,Journal Article,2005,11,1,0,1,0,0,0,0,0,0,19,
,"New Species of Cremastosperma (Annonaceae) from Colombia, Ecuador, and Panama","Pirie, MD",Blumea,Journal Article,2005,3,1,0,1,0,0,0,0,0,0,19,
,Sida 21(3): 1271 (-1272; fig. 1). 2005 [5 Aug 2005],,,Journal Article,2005,3,1,0,1,0,0,0,0,0,0,19,
,"Sida 21(4): 1957–1959, f. 2. 2005. (21 Dec 2005)",,,Journal Article,2005,3,1,0,1,0,0,0,0,0,0,19,
,Syst. & Geogr. Pl. 75(2): 173 (-175; fig. 1). 2005 [23 Dec 2005],,,Journal Article,2005,12,1,0,1,0,0,0,0,0,0,19,
,Harvard Pap. Bot. 9(1): 35 (-36; fig. 10H-J). 2004 [Sep 2004],,Harvard Papers in Botany,Journal Article,2004,15,1,0,1,0,0,0,0,0,0,10,
,Increasing biomass in Amazonian forest plots,"Baker, T.R., O.L. Phillips, Y. Malhi, S. Almeida, L. Arroyo, A. Di Fiore, T. Erwin, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, A. Monteagudo, D.A. Neill, P. Núñez V., N.C.A. Pitman, J. Natalino M. Silva & R. Vásquez M.","Philosophical Transactions of the Royal Society of London, Series B",Journal Article,2004,,0,0,1,0,0,0,0,0,0,10,
,New Species of Philodendron (Araceae) from South America,"Croat, TB, and CC Finch ",Aroideana,Journal Article,2004,11,1,0,1,0,0,0,0,0,0,10,
,"Pattern and process in Amazon tree turnover, 1976-2001","Phillips, O., T. Baker, L. Arroyo, N. Higuchi, T. Killeen, W.F. Laurance, S.L. Lewis, J. Lloyd, Y. Malhi, A. Monteagudo, D. Neill, P. Núñez Vargas, N. Silva, J. Terborgh, R. Vásquez Martínez, M. Alexiades, S. Almeida, S. Brown, J. Chave, J.A. Comiskey, C.I. Czimczik, A. Di Fiore, T. Erwin, C. Kuebler, S.G. Laurance, H.E.M. Nascimento, J. Olivier, W. Palacios, S. Patiño, N. Pitman, C.A. Quesada, M. Saldias, A. Torres Lezama & B. Vinceti","Philosophical Transactions of the Royal Society, Series B",Journal Article,2004,,0,0,1,0,0,0,0,0,0,10,
,Syst. Bot. 29(2): 321 (-323; fig. 6). 2004 [21 May 2004],,Systematic Botany,Journal Article,2004,11,1,0,1,0,0,0,0,0,0,10,
,The above-ground coarse wood productivity of 104 lowland Neotropical forest plots,"Malhi, Y., T.R. Baker, O.L. Phillips, J. Lloyd, S. Almeida, L. Arroyo, J. Chave, C.I. Czimczik, A. Di Fiore, N. Higuchi, T.J. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, L.M. Mercado, A. Monteagudo, D.A. Neill, S. Patiño, N.C.A. Pitman, C.A. Quesada, N. Silva, R. Vásquez Martínez & B. Vinceti",Global Change Biology,Journal Article,2004,,0,0,1,0,0,0,0,0,0,10,
,Variation in wood density determines spatial patterns in Amazonian forest biomass,"Baker, T.R., O.L. Phillips, Y. Malhi, S. Almeida, L. Arroyo, A. Di Fiore, T. Killeen, S.G. Laurance, W.F. Laurance, S.L. Lewis, J. Lloyd, A. Monteagudo, D.A. Neill, S. Patiño, N.C.A. Pitman, N. Silva & R. Vásquez Martínez",Global Change Biology,Journal Article,2004,,0,0,1,0,0,0,0,0,0,10,
,A spatial model of tree alpha-diversity and density for the Amazon region,"ter Steege, H., N. Pitman, D. Sabatier, H. Castellanos, P. van der Hout, D.C. Daly, M. Silveira, O. Phillips, R. Vásquez, T. van Andel, J. Duivenvoorden, A.A. de Oliveira, R. Ek, R. Lilwah, R. Thomas, J. van Essen, C. Baider, P. Maas, S. Mori, J. Terborgh, P. Núñez Vargas, H. Mogollón & P.J. Horchler",Biodiversity and Conservation,Journal Article,2003,,0,0,1,0,0,0,0,0,0,3,
,"Agouticarpa, a New Neotropical Genus of Tribe Gardenieae (Rubiaceae)","Persson, C",Brittonia,Journal Article,2003,3,1,0,1,0,0,0,0,0,0,3,
,Rubiacearum americanarum magna hama pars VII. New species of Palicourea (Psychotrieae) from Central America and western South America,"Taylor, CM",Novon,Journal Article,2002,3,1,0,1,0,0,0,0,0,0,1,
,"First record and massive range extension of Hyalinobatrachium cappellei (Van Lidth de Jeude, 1904) (Anura: Centrolenidae) in Colombia","Thompson, ME, G Medina-Rangel, DH Ruiz-Valderrama",Check List,Journal Article,,30,0,0,0,0,1,0,0,0,0,,
,Working toward an integral monitoring for Cordillera Azul National Park and its buffer zone,"Pequeño, T",CIMA,Technical Report,,2,0,0,1,1,1,1,1,1,0,129,
